Timestamp,Data-collectors-name,Journal-name,Full-Reference-APA,Year (first published online),Period/Date (archaeology and palaeoecology or modern for other studies),Type-of-study,Geographic-location (use https://www.geonames.org/ for country name),oa_status,Journal-type,What-article-repository,Is it available in sign up repository?,Processing-method-communication,Counting-method-is-replicable,Instruments-used-described,Nomenclature-used,Have they used it fully?,Data-location,What-data-repository,Data-type ,Data-format,Data-availability-statement,Data-license,Pictures or photos included for identifications,Statistical-software-used,Other-comments,,,,,,
11/11/2021 15:37:33,Javier Ruiz-Pérez,Quaternary Research,"Plumpton, H. J., Mayle, F. E., & Whitney, B. S. (2020). Long-term impacts of mid-Holocene drier climatic conditions on Bolivian tropical dry forests. Quaternary Research, 93, 204-224",2019,Middle Holocene,Palaeoecology,Bolivia,hybrid,Hybrid,Publisher/University or Institution repository,,One reference to generic ref or multiple references,Yes,Yes,None specified/not clear,Not used,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,None,R,,,,,,,
11/11/2021 15:54:19,Javier Ruiz-Pérez,Quaternary International,"Piperno, D. R., & McMichael, C. (2020). Phytoliths in modern plants from Amazonia and the Neotropics at large: Implications for vegetation history reconstruction. Quaternary International, 565, 54-74",2020,Modern,Methodological - modern reference,,closed,Hybrid,None-not-oa,,One reference to generic ref or multiple references,Not applicable,Yes,ICPN 2.0,No,Data in supplementary file,None,Presence/absence,.xslx,All data included,Data not in repository,Only significant ones,None,"This study includes species that tipically occur in the Neotropics so I could not choose one particular country. Also, I have included this paper because, although samples were collected in herbariums from outside of South America, the species are found there and the focus of the study is on South American taxa.",,,,,,
11/11/2021 16:04:05,Javier Ruiz-Pérez,Journal of South American Earth Sciences,"Patterer, N. I., Kröhling, D. M., & Zucol, A. F. (2020). Phytolith analysis in Quaternary fluvial deposits (El Palmar Formation-Late Pleistocene) of the Uruguay River valley, Entre Ríos province, Argentina. Journal of South American Earth Sciences, 100, 102542",2020,Late Pleistocene,Palaeoecology,Argentina,green,Hybrid,CONICET - CONICET Digital,,Summary of method,Yes,No,ICPN 2.0,Yes,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,All,None,,,,,,,
11/11/2021 16:30:40,Javier Ruiz-Pérez,Quaternary International,"Patterer, N. I., Zucol, A. F., Pepi, M. G. F., & Brea, M. (2019). Plant and soil phytolith analysis of a relictual community of Butia yatay in temperate-humid savannas (Entre Ríos, Argentina). Quaternary International, 525, 126-139",2019,Modern,Methodological - modern reference,Argentina,closed,Hybrid,None-not-oa,,Summary of method,Yes,No,ICPN 1.0,No,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,Only significant ones,PAST,,,,,,,
11/11/2021 16:44:22,Javier Ruiz-Pérez,Catena,"da Silva Neto, E. C., Pereira, M. G., dos Anjos, L. H. C., Calegari, M. R., Azevedo, A. C., Schiavo, J. A., & Pessenda, L. C. R. (2020). Phytoliths as paleopedological records of an histosol-cambisol-ferralsol sequence in Southeastern Brazil. Catena, 193, 104642",2020,Late Holocene,Palaeoecology,Brazil,closed,Hybrid,None-not-oa,,One reference to generic ref or multiple references,Yes,Yes,ICPN 2.0,No,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,None,"C2, TiliaGraph, CONISS",,,,,,,
11/11/2021 17:27:07,Javier Ruiz-Pérez,Science of the Total Environment,"da Silva Neto, E. C., Calegari, M. R., Pereira, M. G., Maranhão, D. D. C., Schiavo, J. A., Fontana, A., & Fernandes, J. C. F. (2018). Phytoliths as indicators of pedogenesis and paleoenvironmental changes in Spodosols of the state of Rio de Janeiro, Brazil. Science of the Total Environment, 636, 1070-1080",2018,Late Pleistocene,Palaeoecology,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 1.0,No,Data in text of article,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,Only significant ones,None,,,,,,,
11/11/2021 17:42:26,Javier Ruiz-Pérez,"Palaeogeography, Palaeoclimatology, Palaeoecology","Mourelle, D., del Puerto, L., Perez, L., Bergamino, L., & García-Rodríguez, F. (2020). Late Pleistocene and Late Holocene environment and climate in the campos region of southeastern South America inferred from phytolith, diatom and geochemical data. Palaeogeography, Palaeoclimatology, Palaeoecology, 543, 109586",2020,Late Pleistocene and Late Holocene,Palaeoecology,Uruguay,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 1.0,No,No data (includes graphs),None,No data provided in a table - only graph,No data table,None,Data not in repository,None,"PAST, CONISS",Cannot assess if ICPN 1.0 is fully used or not because morphotypes have not been reported.,,,,,,
11/11/2021 18:14:48,Javier Ruiz-Pérez,Botanical Journal of the Linnean Society,"Morcote-Ríos, G., Bernal, R., & Raz, L. (2016). Phytoliths as a tool for archaeobotanical, palaeobotanical and palaeoecological studies in Amazonian palms. Botanical journal of the Linnean Society, 182(2), 348-360",2016,Modern,Methodological - modern reference,Colombia,bronze,Hybrid,Publisher,,Full protocol in text/supplementary files,Yes,No,ICPN 1.0,Yes,Data in text of article,None,Presence/absence,Table in the text of the article,All data included,Data not in repository,All,None,,,,,,,
11/11/2021 18:25:41,Javier Ruiz-Pérez,Revista Brasileria de Paleontologia,"Luz, L. D., Parolin, M., PESSENDA, L. C. R., Rasbold, G. G., & Lo, E. (2019). Multiproxy analysis (Phytoliths, stable isotopes, and c/n) as indicators of paleoenvironmental changes in a Cerrado site, Southern Brazil. Revista Brasileira de Paleontologia, 22(1), 15-29",2019,Late Pleistocene-Holocene,Palaeoecology,Brazil,bronze,Open,Publisher,,Full protocol in text/supplementary files,Yes,No,ICPN 1.0,Yes,Data in supplementary file,None,Raw counts,.pdf,All data included,Data not in repository,Only significant ones,None,,,,,,,
11/12/2021 3:23:09,Céline Kerfant,Boletín de la Sociedad Argentina de Botánica,"Fernández Honaine, M., de Rito, M. V., & Osterrieth, M. L. (2018). Análisis de los silicofitolitos presentes en especies de las familias Cannabaceae, Moraceae y Urticaceae del SE bonaerense y estudio comparativo de los cistolitos.",2018,Modern,Methodological - modern reference,Argentina,gold,Open,None-gold,,One reference to specific protocol,Not applicable,Yes,ICPN 1.0,No,Data in text of article,None,No data provided in a table - only graph,No data table,None,CC-BY,Only significant ones,PC-ORD version 6,The reference collection is more about cystoliths than phytoliths/The complete licence description is CC BY-NC-SA 2. 5,,,,,,
11/15/2021 4:17:07,Céline Kerfant,Soil & Tillage Research,"Frayssinet, C., Osterrieth, L. M., Borrelli, L. N., Honaine, M. F., Ciarlo, E., & Heiland, P. (2019). Effect of silicate fertilizers on wheat and soil properties in Southeastern Buenos Aires province, Argentina. A preliminary study. Soil and Tillage Research, 195, 104412.",2019,Modern,Geochemical,Argentina,closed,Hybrid,None-not-oa,,Summary of method,Not applicable,No,None specified/not clear,Not used,No data (includes graphs),None,Mean or ranges,Table in the text of the article,None,Data not in repository,None,Infostat,,,,,,,
11/15/2021 4:46:18,Céline Kerfant,Antiquity,"Heider, G., & López, L. (2018). The South American agricultural frontier: the first direct evidence for maize consumption in San Luis, Argentina. antiquity, 92(365), 1260-1273.",2018,Holocene,Archaeological,Argentina,closed,Hybrid,None-not-oa,,One reference to specific protocol,Not applicable,Yes,ICPN 1.0,No,No data (includes graphs),None,Unclear what is presented,No data table,None,Data not in repository,Only significant ones,None,,,,,,,
